Race,Date,WPM,Accuracy,Text,Outcome
7036.,2017-11-22 14:32:34,287.11,100%,3641177,Win (1 of 2)
7035.,2017-11-22 14:29:35,283.96,100%,3641177,Win (1 of 2)
7034.,2017-11-17 00:04:54,277.87,100%,3641177,Win (1 of 2)
7033.,2017-11-17 00:00:01,272.61,100%,3550141,Win (1 of 2)
7032.,2017-11-16 23:45:25,253.03,100%,3641380,Win (1 of 2)
7031.,2017-11-16 23:39:33,298.21,100%,3641177,Win (1 of 2)
7030.,2017-11-16 23:35:24,281.42,100%,3550141,Win (1 of 2)
7029.,2017-11-16 23:32:11,275.27,100%,3620021,Win (1 of 2)
7028.,2017-11-16 23:28:44,301.12,100%,3810446,Win (1 of 2)
7027.,2017-11-16 23:27:42,280.32,100%,3810446,No win (2 of 2)
7026.,2017-11-16 23:23:55,228.82,100%,3811436,Win (1 of 2)
7025.,2017-11-16 23:23:37,169.95,99%,3811436,Win (1 of 4)
7024.,2017-11-16 23:23:04,151.71,98%,3640850,Win (1 of 3)
7023.,2017-11-16 23:21:54,160.47,98%,3641164,Win (1 of 2)
7022.,2017-11-16 23:20:45,164.50,98%,3640269,Win (1 of 3)
7021.,2017-11-16 23:19:46,176.87,99%,683,Win (1 of 2)
7020.,2017-11-16 23:19:02,156.04,98%,3622326,Win (1 of 3)
7019.,2017-11-16 23:17:48,187.49,99%,3810728,Win (1 of 2)
7018.,2017-11-16 23:13:47,179.76,99%,3810358,Win (1 of 3)
7017.,2017-11-16 23:12:10,184.70,99%,3810928,No win (1 of 1)
7016.,2017-11-16 23:10:47,218.99,100%,3810416,Win (1 of 2)
7015.,2017-11-16 23:08:09,179.99,99%,3810531,Win (1 of 2)
7014.,2017-11-16 23:05:17,204.35,100%,3810131,No win (1 of 1)
7013.,2017-11-16 23:04:47,173.34,99%,260,Win (1 of 2)
7012.,2017-11-16 23:03:23,190.34,99%,3640309,No win (1 of 1)
7011.,2017-11-16 23:02:34,180.70,99%,3811278,No win (1 of 1)
7010.,2017-11-16 23:01:31,186.78,100%,3640143,Win (1 of 2)
7009.,2017-11-16 23:00:16,198.91,100%,717,No win (1 of 1)
7008.,2017-11-16 22:59:43,180.02,99%,3641368,No win (1 of 1)
7007.,2017-11-16 22:57:20,183.26,99%,3811386,No win (1 of 1)
7006.,2017-11-16 22:56:40,179.00,99%,3811407,No win (1 of 1)
7005.,2017-11-16 22:56:06,194.05,99%,3620904,No win (1 of 1)
7004.,2017-11-16 22:55:47,176.19,99%,3641040,Win (1 of 2)
7003.,2017-11-16 22:53:42,176.32,99%,3810858,No win (1 of 1)
7002.,2017-11-16 22:52:41,151.40,99%,3550287,No win (1 of 1)
7001.,2017-11-16 22:49:59,149.89,98%,3810699,No win (1 of 1)
7000.,2017-11-16 22:49:15,186.59,99%,3640255,Win (1 of 2)
6999.,2017-11-16 22:48:50,157.94,97%,3640255,Win (1 of 4)
6998.,2017-11-16 22:48:11,171.34,99%,3640184,Win (1 of 2)
6997.,2017-11-16 22:47:42,156.11,99%,3640184,No win (1 of 1)
6996.,2017-11-16 22:45:12,183.99,99%,586,Win (1 of 2)
6995.,2017-11-16 22:44:29,157.33,98%,3811239,Win (1 of 3)
6994.,2017-11-16 22:43:48,170.34,99%,3550346,Win (1 of 3)
6993.,2017-11-16 22:43:17,152.29,98%,3100043,No win (2 of 3)
6992.,2017-11-16 22:42:34,142.92,98%,3811263,No win (2 of 3)
